20140804:10:00:00.000873,1601.17,109312	 flag: 1
20140804:10:00:00.015515,1615.85,288414	 flag: 1
20140804:10:00:00.032919,1623.19,576784	 flag: 1
20140804:10:00:00.046535,1742.15,700418	 flag: 1
20140804:10:00:00.074908,1861.61,546062	 flag: 1
20140804:10:00:00.075717,890.97,78923	 flag: 1
20140804:10:00:00.079804,879.45,728620	 flag: 1
20140804:10:00:00.085446,1627.92,549339	 flag: 1
20140804:10:00:00.091740,924.57,159758	 flag: 1
20140804:10:00:00.092282,1805.10,361144	 flag: 1
20140804:10:00:00.100370,1629.46,223700	 flag: 1
20140804:10:00:00.104936,1699.69,731941	 flag: 1
20140804:10:00:00.106547,955.23,621272	 flag: 1
20140804:10:00:00.107554,1651.11,123219	 flag: 1
20140804:10:00:00.108311,927.84,486364	 flag: 1
20140804:10:00:00.108784,950.64,459773	 flag: 1
20140804:10:00:00.109394,1895.23,265761	 flag: 1
20140804:10:00:00.112692,1695.21,283562	 flag: 1
20140804:10:00:00.123334,1621.54,620042	 flag: 1
20140804:10:00:00.150075,1643.13,32406	 flag: 1
20140804:10:00:00.165091,1642.69,289345	 flag: 1
20140804:10:00:00.170300,933.91,74377	 flag: 1
20140804:10:00:00.179441,937.41,401917	 flag: 1
20140804:10:00:00.187427,1712.80,180274	 flag: 1
20140804:10:00:00.192476,1704.40,545415	 flag: 1
20140804:10:00:00.193223,1639.61,389409	 flag: 1
20140804:10:00:00.195661,1694.37,249730	 flag: 1
20140804:10:00:00.196723,1628.55,244271	 flag: 1
20140804:10:00:00.211628,1651.54,713481	 flag: 1
20140804:10:00:00.214932,1977.78,633405	 flag: 1
20140804:10:00:00.229290,953.46,645746	 flag: 1
20140804:10:00:00.252090,1631.74,349136	 flag: 1
20140804:10:00:00.254831,1575.35,685958	 flag: 1
20140804:10:00:00.260214,875.23,550005	 flag: 1
20140804:10:00:00.287861,1668.88,76883	 flag: 1
20140804:10:00:00.289329,1490.33,141072	 flag: 1
20140804:10:00:00.297961,1925.45,54912	 flag: 1
20140804:10:00:00.301921,1742.03,644998	 flag: 1
